CustomerID,ProductType,OpenDate,ActiveStatus,CreditLimit,Balance,UsageScore
0148fa1c-5a7d-48a3-925c-2b06ffc907ce,Savings Account,2010-11-27,Active,,49238.21,0.65
0148fa1c-5a7d-48a3-925c-2b06ffc907ce,Credit Card,2019-09-04,Active,16216.0,48219.74,0.08
0148fa1c-5a7d-48a3-925c-2b06ffc907ce,Mortgage,2017-09-15,Inactive,,35676.5,0.33
0148fa1c-5a7d-48a3-925c-2b06ffc907ce,Fixed Deposit,2012-02-11,Active,,15754.72,0.22
0148fa1c-5a7d-48a3-925c-2b06ffc907ce,Investment Account,2021-01-10,Inactive,,25342.91,0.5
9a82df3e-2406-4679-9dfc-e42f0888a627,Credit Card,2005-05-16,Inactive,3661.0,10163.94,0.07
9a82df3e-2406-4679-9dfc-e42f0888a627,Savings Account,2008-08-08,Active,,1954.33,0.58
9a82df3e-2406-4679-9dfc-e42f0888a627,Fixed Deposit,2012-02-21,Active,,22839.13,0.83
9a82df3e-2406-4679-9dfc-e42f0888a627,Mortgage,2023-09-21,Inactive,,5702.89,0.61
9a82df3e-2406-4679-9dfc-e42f0888a627,Investment Account,2018-11-25,Inactive,,4136.05,0.32
de8116f2-4303-4e09-b3ea-16cef2dafcb8,Mortgage,2022-02-04,Inactive,,47088.06,0.01
de8116f2-4303-4e09-b3ea-16cef2dafcb8,Fixed Deposit,2023-08-19,Active,,41846.02,0.75
de8116f2-4303-4e09-b3ea-16cef2dafcb8,Savings Account,2017-09-24,Inactive,,46314.69,0.57
de8116f2-4303-4e09-b3ea-16cef2dafcb8,Credit Card,2012-01-17,Inactive,19397.0,18568.53,0.99
de8116f2-4303-4e09-b3ea-16cef2dafcb8,Investment Account,2017-12-25,Inactive,,6662.77,0.93
ad3175a2-3c3c-4e6b-9008-9900673092a5,Credit Card,2010-01-23,Inactive,18171.0,30327.28,0.15
ad3175a2-3c3c-4e6b-9008-9900673092a5,Fixed Deposit,2016-02-21,Inactive,,28699.22,0.31
c7c0c3ad-2259-4325-a779-60f89c0d7cc4,Investment Account,2009-03-01,Inactive,,12997.81,0.92
c7c0c3ad-2259-4325-a779-60f89c0d7cc4,Credit Card,2009-08-22,Inactive,47144.0,2104.67,0.43
c7c0c3ad-2259-4325-a779-60f89c0d7cc4,Savings Account,2005-12-31,Active,,14951.98,0.94
c7c0c3ad-2259-4325-a779-60f89c0d7cc4,Fixed Deposit,2014-03-18,Inactive,,2126.18,0.27
c7c0c3ad-2259-4325-a779-60f89c0d7cc4,Mortgage,2007-04-22,Active,,2324.76,0.64
79ac0f05-8a74-4d11-812a-16a963f7a60c,Investment Account,2005-05-25,Inactive,,3713.0,0.03
79ac0f05-8a74-4d11-812a-16a963f7a60c,Savings Account,2025-03-17,Inactive,,26890.93,0.03
79ac0f05-8a74-4d11-812a-16a963f7a60c,Mortgage,2006-12-25,Active,,35574.83,0.89
79ac0f05-8a74-4d11-812a-16a963f7a60c,Credit Card,2023-07-31,Inactive,46866.0,38292.38,0.41
e2a85496-f191-4e03-bb1f-1970f5ce85f1,Mortgage,2013-04-30,Inactive,,16524.44,0.35
e2a85496-f191-4e03-bb1f-1970f5ce85f1,Credit Card,2013-09-30,Active,48608.0,27163.4,0.28
e2a85496-f191-4e03-bb1f-1970f5ce85f1,Fixed Deposit,2019-07-17,Active,,16274.77,0.91
f0d0f55f-cf61-40c7-93d3-2e2c96be05e1,Mortgage,2016-10-06,Inactive,,32393.65,0.16
a6cb3d90-8017-4445-bffd-38ab53296743,Investment Account,2007-05-14,Active,,23419.13,0.57
4bdff70e-1e11-4d7d-9060-d880ad86718c,Savings Account,2016-05-08,Active,,37600.26,0.38
4bdff70e-1e11-4d7d-9060-d880ad86718c,Investment Account,2010-09-16,Inactive,,20426.95,0.83
4bdff70e-1e11-4d7d-9060-d880ad86718c,Mortgage,2011-02-06,Inactive,,38148.94,0.04
4bdff70e-1e11-4d7d-9060-d880ad86718c,Credit Card,2016-11-16,Inactive,21589.0,8898.48,0.79
ad95d274-ca86-41ca-b1cd-bf6c0706899d,Mortgage,2020-12-01,Inactive,,41489.0,0.68
ad95d274-ca86-41ca-b1cd-bf6c0706899d,Savings Account,2010-08-02,Active,,16744.19,1.0
ad95d274-ca86-41ca-b1cd-bf6c0706899d,Investment Account,2009-10-15,Active,,45337.52,0.24
ad95d274-ca86-41ca-b1cd-bf6c0706899d,Fixed Deposit,2013-10-13,Active,,21678.61,0.04
ad95d274-ca86-41ca-b1cd-bf6c0706899d,Credit Card,2012-09-17,Inactive,34763.0,17539.82,0.94
d56855ce-1899-4d3c-aa10-75e3c027c3b0,Credit Card,2021-03-09,Active,41035.0,9334.23,0.0
d56855ce-1899-4d3c-aa10-75e3c027c3b0,Mortgage,2023-03-29,Inactive,,22392.54,0.79
