TransactionID,CustomerID,Date,Amount,TransactionType,Category,Channel
93e67003-d4d5-43d5-8796-1f710667aa0b,928307f5-0563-4609-8d0f-c38a7a8b6abd,2024-12-18,1691.51,Transfer,Insurance,Online
3dd6f1d3-f8a4-400c-989a-9b8c94a24051,164de27c-4fd5-4b4f-b12c-ac27de43f13e,2023-09-17,3885.96,Payment,Entertainment,ATM
095cc264-94f9-42cc-b2ee-b975c22a6def,2786dd96-a35b-4db1-82ee-ee08023afbe2,2024-12-26,2826.64,Transfer,Shopping,ATM
b4f64124-8cfc-407c-a2ff-c16eb0adaa02,1d09df29-82c8-43fb-9295-598db8172f84,2023-11-14,4404.55,Payment,Insurance,ATM
eeaf7e63-0c85-40b8-ab71-beaeff5abadc,d658cea2-7ef2-4234-9594-711feb157277,2023-12-15,3117.25,Withdrawal,EMI,App
9fb25235-b1d0-41ba-8653-69cc1b7f6841,d3aac828-187e-4db4-a55c-cf0ee2a931df,2023-08-26,1997.75,Payment,EMI,App
ff247af4-9270-424e-833a-9ca09f565161,e51b6808-ac10-4dfa-98b6-43cf45fac753,2024-12-16,2813.71,Fee,Groceries,Branch
4e6ed10b-5215-421e-9386-13cabb7d2d0c,de4815fe-633f-40e5-9061-4ffd994a6f98,2025-02-21,146.57,Withdrawal,Insurance,Branch
b8a18ff0-1e43-468b-8135-5c6326522336,193a0d4c-5ca0-44c3-8c00-48a86dd0c24d,2023-05-15,2195.66,Withdrawal,Miscellaneous,App
2efdbc7d-dae5-42cd-a5eb-4efad3f01d8a,bd532af8-c91f-4903-853f-b7cfe0da998a,2024-11-20,2629.24,Withdrawal,Entertainment,App
c0211fe3-0309-4f28-9884-e71f598e5000,0c83c2c2-fc49-4d6c-b385-ff643655b7b3,2024-11-09,3576.37,Deposit,Salary,ATM
1b9ad954-2823-451d-aa6c-cb041c6d0e00,4f321b40-0e85-4880-b141-351c08c80de9,2023-07-01,3963.49,Deposit,Miscellaneous,ATM
394a14eb-6e97-4e3a-925c-0fe6645ae772,4e7de877-8acf-4649-8123-140c445770c5,2024-05-18,4476.98,Fee,Shopping,ATM
95d16b69-b38d-4226-b358-ee37d2992a00,427bbb81-ee30-4902-9f3b-cdb45ba872f5,2024-05-19,611.37,Withdrawal,EMI,App
d10f3dc5-c8ae-4f39-932c-d3287de495fe,a02ecbfe-8063-484c-8108-2cc44dd77b7d,2024-01-13,687.19,Transfer,Groceries,App
87d028e3-17b6-4f1c-b7c3-9cbaab052333,28a63aa5-1267-4ebc-9d4e-cde66ed66539,2025-03-09,3448.37,Payment,Shopping,Online
2da58db6-8dae-47e8-ba51-329b10e71695,7b3d1084-db2e-438a-a71f-07c1fce73768,2024-07-05,660.01,Payment,Bills,App
85d86f66-bd71-42d3-9175-f2e0296b78c0,5074efba-4f84-4259-8975-b1380161b44d,2024-09-15,1946.57,Fee,Salary,Online
9e5dc606-bdbf-496f-9440-ddd754569156,f3cf4e23-055d-4ca3-9410-1e3a63b1ef25,2023-08-30,2387.27,Payment,Salary,Online
74569505-d64f-4a07-bb22-d309230e8a45,480abd5b-bcc4-44ca-970c-de7023a911cc,2025-03-07,3456.89,Fee,Insurance,Online
471dc0e2-4b03-4f66-992b-1b545b3762ea,3e2e7c2e-28c7-43bb-9c03-aefa8257a189,2025-01-04,2943.66,Deposit,Salary,Online
eb7d6981-9b21-461a-bf60-c4a9fa57283a,51129c8e-35e1-40da-ad74-737ab438d6b2,2023-09-10,1286.72,Transfer,EMI,Branch
e9f21218-a0bc-4ee6-aba6-4b7cba298564,4f321b40-0e85-4880-b141-351c08c80de9,2025-01-10,248.87,Deposit,Miscellaneous,Online
37bbce40-171a-4f14-8919-818641904051,b519aa38-dbcf-4d5b-9ae8-d0eaa1e4614a,2023-08-08,3661.85,Withdrawal,Bills,App
397d202a-10af-4ce5-a181-c4b0396cb908,75b9f100-7b14-41ed-929d-6abc2137f753,2023-11-22,4928.92,Withdrawal,Miscellaneous,Online
9b83c7df-e659-4414-af79-82b7e7ad459f,2e62a058-304a-4514-aefc-56e632ae2fe2,2025-01-19,1915.22,Transfer,Groceries,App
df43fcd0-9b43-4ad8-95a6-5d367c08dab2,2fe4e61c-f72b-4705-a801-3c0f2cddd09b,2024-10-25,565.03,Fee,Shopping,App
0e1787bd-a2af-489d-9f34-d6f1d8abc4ae,87264965-874c-42b6-a149-748399a20740,2024-07-23,1976.87,Withdrawal,Miscellaneous,Branch
02cb441e-8b5e-427e-981b-102900a664bd,1864a0f5-c2b2-4069-98df-7bcb35372c8b,2024-08-17,1305.79,Fee,Shopping,Branch
7b632b24-3383-431e-b555-5d816fc155d3,ac3e86f8-e977-479f-846a-ff3853ee00e5,2023-09-14,1583.54,Fee,Groceries,App
360ffab8-fe8e-4f14-9e0d-7a706efa3fe8,63854240-1c99-429a-ae3a-efa12cbd1155,2023-05-15,2197.22,Fee,EMI,ATM
7b96c25f-0c64-43c2-958d-a7fc8e7f4b3e,8c05dc7a-82b7-46f2-9c51-b9f70d4035dd,2023-08-04,2990.2,Withdrawal,EMI,ATM
ce3b8ca7-2c3f-4eb9-8fd8-b46ac892efe2,c6a49619-e22c-4b46-8173-5b72dabc8728,2025-03-28,628.96,Payment,Entertainment,App
27321530-a828-493c-a116-5214da9fddfb,fd4a202e-dad9-4c41-81ae-869791c63ab4,2023-06-19,2161.67,Withdrawal,Salary,Online
28bc416c-ca5d-42ab-af1b-fd1860800162,bb60b006-505e-4b1c-929e-c4e936a2bd36,2024-11-28,2286.31,Fee,Shopping,ATM
6d3bac3c-a5f4-4375-96d5-5e15cfe73598,3e50dddf-9904-45bc-b062-b38f0de10ce5,2024-07-16,2553.25,Withdrawal,EMI,App
ff55615a-8ff4-42e5-9cb3-06ba0368c400,0c83c2c2-fc49-4d6c-b385-ff643655b7b3,2024-12-18,1433.7,Fee,Shopping,App
f6da3f19-6ee4-4dbc-9463-95411067a879,61716188-0bc4-404d-9110-d7c065b791c9,2024-02-20,1643.35,Fee,Shopping,Branch
04bd101f-c57a-4a3c-b596-bb9d853c5d56,6319c7f8-0f84-41d9-9cac-c146b5b81699,2023-11-06,206.93,Transfer,Bills,Branch
96398ae6-78e3-4353-ae42-e276dc5415e2,5a2509b1-650f-48ff-bcf0-28614752e287,2024-07-03,287.54,Deposit,Miscellaneous,Online
30162805-cd03-4267-aa0a-5dc17ad43f4f,27436109-3d65-4ba7-8c46-76c92f868736,2023-07-08,1523.9,Deposit,Bills,Branch
b599521e-6109-4eda-84fe-bbe897a33c5f,766e2899-3343-4ba3-b959-559c34267aeb,2025-04-19,3469.82,Withdrawal,Insurance,Branch
6857be8f-1b46-4cba-836e-7708a346d735,d8ce0a09-ba82-4a3c-a837-75580c78e9c6,2025-02-25,4963.94,Deposit,Salary,ATM
b067c770-8d33-44e1-aaeb-11617c66bf60,5a2509b1-650f-48ff-bcf0-28614752e287,2024-06-09,1499.86,Fee,Entertainment,Online
344aee02-3e96-4b38-a07a-1f7ad4510d6a,053302cf-df89-4cab-9c59-3b012e7a3f92,2023-11-04,2211.51,Deposit,Salary,App
e701b8a4-c709-4a90-9d85-19e9dbf79ce4,11e8e1b2-902b-4cc6-a67a-f38d673e8265,2023-05-11,1368.39,Deposit,Miscellaneous,App
35ca7d8e-c49a-402b-b433-b57e93c750ad,fa586c9b-8159-44f8-8271-a1c5fb34c9da,2025-01-07,2945.79,Payment,Salary,Branch
870830dc-ff33-4d78-b484-bc4a7d6c96fe,6e110dd3-0376-4a6f-ab2d-184a9bcfbc0e,2024-10-23,1793.38,Withdrawal,Entertainment,App
b4d61b87-532a-4849-a277-df38d63fd3d7,92a3e5e7-a4d5-4ea1-9bd1-fb7af0c201f1,2023-11-22,3107.52,Withdrawal,Insurance,Online
5ce135bf-b39e-47bf-9505-02af3fa2fa99,7e318b46-79c7-4f2e-a1b3-7a83ccba077f,2024-03-14,2742.92,Payment,EMI,Online
8d2a1607-69e0-49ec-86d8-41b38beb9892,17e71d43-be0c-4be4-8433-802735d532f4,2025-03-27,2242.25,Fee,Salary,Online
07f2fa7c-49cd-4d4e-8270-537a5e380b05,3375ed80-fae7-4d32-80da-35b7ad9ba8e3,2023-06-30,2977.69,Withdrawal,Shopping,Branch
af7ec70d-8877-44be-bcea-74fd333a74fa,1f7c36e9-2622-45fc-9d66-47aaf896a994,2023-07-03,384.78,Withdrawal,Groceries,ATM
15bc4cac-0dba-425a-82f6-149ea5ae34d8,c69f6425-8e35-4261-b221-1f02c34c7d3c,2024-07-25,1218.1,Withdrawal,Insurance,Online
9bb27d87-eb2f-4d36-b9bd-1e08e4efb63d,f26a0268-1ed4-4c39-8937-90a80e82a49f,2023-07-10,1398.75,Fee,Miscellaneous,App
918ef169-9248-44fe-af61-82fdd4f55021,0a660df0-4648-49a7-9aa7-a8f4b7928278,2023-12-01,2650.7,Deposit,Bills,Online
b707d11c-28fb-4b2e-8bb3-f1dc25765003,a1bdede3-b2fe-4016-8c85-e33d333a4231,2024-04-14,3714.74,Payment,Bills,Branch
38303cc6-09ee-4107-9c00-373f0106ad0e,bdee45b9-2461-4368-9160-fe369f5c69af,2024-02-23,4196.97,Payment,Groceries,Online
ff69ead0-4004-4458-a2b5-47c9191bb02d,7aef4a3f-2cf9-4128-8f87-bf764c4ac879,2024-11-06,1449.49,Withdrawal,Groceries,ATM
3ccb24ad-ad79-41f7-9816-385a8ac32a4c,67525232-ae03-401e-a391-e3ce06dcbf04,2024-08-25,1301.73,Fee,EMI,ATM
af0e484b-ad30-4f9b-bcda-62413e5152e8,f2f31528-3cfa-4295-90fc-bda436b8d339,2024-11-27,1092.34,Withdrawal,Entertainment,App
3e6737db-58ba-4731-86d9-8ffc4b382dc7,b374adb0-6c18-48b0-8ef3-982e437fe4d4,2024-02-17,3828.76,Payment,Insurance,App
77e14116-9fc6-4dd3-b234-f0e625b549a5,116c827e-2a42-4d6d-9dc0-dad46a03e367,2025-02-18,3805.49,Payment,Insurance,Online
7d563c75-1e7a-46ae-8a82-56bab96bc810,207e10dd-230a-45d8-8f64-04200bec4300,2024-01-04,4930.83,Fee,EMI,App
871e1966-cda9-4b4b-a5aa-41a878d0352a,6033bb6c-679f-4d6b-905e-bd455ef7f8ab,2024-05-13,4282.95,Deposit,Groceries,ATM
d62a78ec-0254-470a-8123-fc7376412d67,ae61378e-01f5-4020-a9a3-00c97443d633,2023-10-25,4656.15,Payment,Entertainment,Online
d4925f64-34b5-4fd5-946e-c609aec557cd,e47383c0-0c8c-4ddc-bada-ed6c66a57765,2025-02-17,73.01,Withdrawal,EMI,App
8656db58-bed1-4029-8ac6-f0c0f5ec8e4c,756882aa-6b6e-43b0-800d-5031d7c47b3b,2023-08-19,427.23,Withdrawal,Miscellaneous,Online
97aeba32-b6f5-4c50-99d9-b67d1b60ab56,58fc31e5-01eb-422c-91ba-aa56de85e53a,2024-06-03,1026.0,Fee,Miscellaneous,ATM
fe528c28-eb3f-42b0-bb76-72123f67b5ed,0350688b-031f-4c26-ac53-a76164f4b570,2024-07-30,2272.45,Fee,Shopping,App
c5ecc7bb-1f35-4e8e-85f5-7fea1d0fcc19,c9a4b858-39bb-4bfe-b469-9476ee309cf0,2023-07-15,4954.97,Fee,Miscellaneous,ATM
8c4e49a5-f967-4af3-8a17-e91e888900a7,0d708940-b4e2-4886-94ce-95c65a4b2462,2023-06-01,3644.51,Withdrawal,EMI,ATM
2e167b18-f291-40f3-9c94-7946dbfc7ee8,f304b9a9-46bd-47f8-8189-4009389ca17c,2025-04-24,1847.49,Payment,Bills,App
632810b2-6b65-4d1c-a27d-7957717c4a90,ec57de0a-0b33-4d21-bc35-e83e6bb1050e,2023-07-23,2686.51,Transfer,Groceries,ATM
9c1701a2-667c-4e58-b215-f904057a0162,0e3122a8-be11-4c91-adc7-418a429e4b43,2023-12-15,283.12,Fee,Entertainment,ATM
c7c21e09-5500-4ede-9e18-9eb72e1f3fd8,9f94c7e2-36a0-4e11-b5bc-8dfaf49f8e5c,2025-05-04,4344.52,Payment,Miscellaneous,Branch
61074fe0-88e2-44ed-801e-2960efc1af91,162b8e73-7c70-424b-a213-d62a10fd6fc5,2024-05-31,3826.7,Fee,Groceries,ATM
d5c2632c-b20f-4d1e-b6ba-756dc41b55fd,b5dfbd03-7dac-446a-b205-df04c04ba180,2024-06-01,1085.04,Payment,Entertainment,ATM
92d15370-151e-4ad3-9e8b-ccfc70666be2,ac2cd850-e0fa-44e6-9d45-8c054227638c,2024-08-01,2003.5,Fee,Entertainment,Branch
d5d1f8ab-4a9a-48bc-adb9-61500ea8bead,6d8e4f6e-c2f5-428d-8375-6ba34a5affc7,2024-06-06,4858.69,Transfer,Insurance,Branch
423e789b-dd47-411c-b12a-464d8a5e0cf9,2545f02d-59fd-4b07-aef0-87e5c03bf46b,2023-11-13,1565.47,Transfer,Insurance,ATM
72523f0a-e90c-40cb-b53b-5e2e2cc174cb,2f53b7a6-be67-476e-b35d-14cb7749db51,2024-08-21,979.08,Fee,Bills,Branch
d57cbeb8-6894-446d-9c70-2af95c17d3b6,d748f7e1-faa6-41c4-addb-97127829e373,2023-06-22,3942.35,Withdrawal,Insurance,App
0f043368-c797-4993-8ef2-053aef6a1980,4d1069d6-5604-4997-ac1e-01065e6a1c8a,2024-05-12,1394.24,Deposit,Shopping,ATM
038ca82d-6336-4f3e-a0d8-395e3ccaf9dc,9722440c-ebd6-4ff2-a610-ef0e7310325f,2023-08-26,4225.81,Fee,Bills,Online
21bcc31f-7d11-43b0-bdf4-58957226d9f7,f9230f8c-728a-484e-b019-d10abfd888b2,2023-12-11,3006.34,Withdrawal,Shopping,Online
ff392452-b1e3-4d2f-862d-6839b6f7cea7,7b237dae-e6a9-4da3-af84-51a0d76151c5,2025-03-27,2555.15,Withdrawal,Insurance,Branch
c7a60fc0-cfa9-4a88-84c2-e80406e1b7d7,0a49b2bb-71c4-4418-8a3d-2a43b398533c,2024-07-26,2393.9,Deposit,Shopping,App
795ee785-b410-4bac-a284-72e8f7f32be0,82e102d9-49f6-47b4-b7f6-116d01195940,2023-07-10,3078.25,Deposit,Groceries,ATM
87cea4d1-db56-4c9d-850d-5dd9c1e39763,6f07b096-b515-4fc0-8086-a1c994126048,2025-04-20,709.34,Payment,Shopping,Branch
a7d48708-fa94-4ec1-af4e-caa9efc3d7b2,4200c4a0-7b37-462f-9b1d-fb0ca3cfedcf,2023-08-17,339.41,Withdrawal,EMI,Online
3d1df418-62b9-4d37-aa97-80f1ac9bbd82,fce1774c-abec-489b-830e-1bf06662b4c1,2023-10-23,2409.02,Payment,Entertainment,Branch
c6f4f8fa-d72d-4526-91e4-57eb02d9a7c3,4249e5fe-ffee-4fdb-8851-3cd789bf2699,2024-06-04,4619.69,Fee,Entertainment,ATM
bcc5f970-57be-4b4b-9383-ccc897221db7,66a6cf54-6a7b-4f9a-8140-23724ad8e361,2024-12-04,3857.51,Transfer,EMI,App
a50515a2-761a-4020-8435-c26b43d35f5b,a048f4e6-8f4d-417b-ad9e-21e6ea19c039,2024-09-03,2675.09,Transfer,Insurance,App
d7cd879d-d3d6-4b35-9dd6-6ed5ba53b815,0b681c26-f89f-4d27-816a-b0d34333fff8,2025-02-21,953.5,Fee,Salary,Online
0eba8e30-fa9e-45f9-9d77-78eefef59db5,8f347559-fcdb-4685-a8ed-221b3adce9f2,2025-04-01,4570.7,Payment,Bills,Branch
09e71043-629b-44c8-a900-33ca9f68a41c,3d2d01ac-bb53-4456-87c3-382ab43eb4ea,2024-04-08,637.36,Deposit,Salary,Branch
b021f7ec-7009-42c0-8a30-53e0fc78af0a,0619228d-edbf-4192-968f-71012e4786e5,2024-06-18,1177.27,Deposit,Groceries,ATM
db886754-f75e-469a-b60c-ed3f4e95c78a,c16e8674-319b-4ae8-9a98-ebca96ad99e7,2025-05-01,1865.73,Transfer,EMI,ATM
7b52fd4b-0950-441a-b56f-8f450a2baff4,c00eb827-3998-4b63-9941-9ef8b7b77a40,2023-06-26,905.85,Payment,Miscellaneous,ATM
0e39733f-3e40-4b88-b44d-59d822857e44,7e86bcfe-1586-4b69-b667-d4d02eb12050,2024-10-05,4474.01,Fee,Insurance,Online
febaa2e5-1845-4522-8774-d353efb8365d,a79a4fa2-595d-4832-afc4-1421cb467a56,2025-01-27,4572.3,Payment,Shopping,ATM
f80a072e-ffe1-4048-8d0b-c12028220100,d36d6380-1c1c-4928-a842-c37d4cbd99d7,2025-01-17,1593.76,Deposit,Insurance,Branch
5aa28cff-0385-4c5c-89d7-8bfdcf1aea9e,e2a2a64d-fba2-4ab6-9711-0af08eb1e486,2025-01-21,1550.63,Fee,Miscellaneous,Online
e1abc23f-bee9-46ed-9480-44efb451d930,ace25a87-3ffa-4fc2-9441-23b08aa4685e,2023-08-23,4997.09,Withdrawal,Shopping,Online
0e158e2c-d464-4619-8ae5-4c2d4a7f91f3,1bb44149-5471-4737-933c-f614dca1e316,2024-11-20,4419.49,Transfer,Salary,Branch
0e81ed94-1130-40f5-8009-111cf897da42,41f9d5cd-a757-4199-a921-a69cb93b2912,2024-01-31,1958.45,Fee,EMI,Branch
4151576e-e284-49cc-a573-bd9392be41c8,ff55bc33-4636-479b-8b78-1fced101d344,2025-03-06,3334.42,Fee,Insurance,Online
db42b16c-622b-4c90-b54b-c3d661a85bdd,5f19bc5e-d398-4c05-83f8-84fd50e17682,2024-06-27,3522.25,Payment,Shopping,ATM
f5be42b2-5f1e-4dcd-a1cd-13cd217dc4c2,a79a4fa2-595d-4832-afc4-1421cb467a56,2024-11-05,4760.66,Transfer,Salary,Branch
e2e86df0-559b-4856-9e0b-efcaf5f1daa8,df934834-619b-40c7-9770-0f827464680e,2024-08-27,1033.6,Transfer,Miscellaneous,Online
20ae07d7-0dcc-4471-8ab9-a124b343b38f,d5dd6ac4-14e4-4fe2-ad88-d10a6833ee81,2024-07-04,1293.69,Withdrawal,Entertainment,Branch
fba71523-f5ec-49e3-9bc0-b71d36454760,cb3b7378-9106-4e81-a114-ec7402160979,2025-05-07,4662.43,Deposit,Entertainment,ATM
77d0625d-09ea-4fa7-bd3c-16ef70212870,857651ed-0b45-429a-ae1b-450aa5affc8d,2024-05-24,2935.29,Withdrawal,EMI,Online
9e153999-79c1-4b75-8b89-d9b52d4ea3d6,a30eedff-1830-4bf4-a633-6755d225fadb,2023-08-22,3825.73,Transfer,Bills,ATM
89013a54-4ad2-446c-9698-a53ddb247126,44185c57-7c20-4f32-a1a7-b945661aaaec,2023-06-12,3155.41,Payment,Shopping,App
b88ca852-23a9-4232-aff0-c28d929ad2e1,c5d8a56e-7d4d-4f57-b181-7fc86200bbce,2025-02-01,3210.75,Deposit,Bills,Branch
8d5b6f3b-1c42-4a47-b951-1759fde47e4f,537aa098-6b7f-4ce1-a8f1-44cc728bf12a,2024-08-24,2734.07,Deposit,EMI,Branch
083a4c8f-fc7a-4882-92d6-aa4c2bad24e7,42436560-feed-4cc4-8638-f5f94e9a7fbc,2024-10-11,4020.52,Deposit,Insurance,ATM
4db05a6e-dde3-4a30-adb3-d7a50b945d8e,9a8032a3-eaaa-4de3-97d8-51731f57d050,2023-07-06,1887.22,Deposit,Entertainment,Branch
